rmse,loss,tr_loss,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.91508,1.8638979847534984,1.9047806232338538,10.0,10.0,122.41141653060913,ok,0.15506700196027634,0.14885529443360163,100000
1.90424,1.895893707124116,1.9353898271139502,20.0,6.0,237.88082599639893,ok,0.1501840544921657,0.14436797929994621,100000
1.91324,1.8984488382589608,1.9405756437378854,20.0,7.0,240.60614156723022,ok,0.14980080437424015,0.14362125130361697,100000
1.91324,1.8984488382589608,1.9405756437378854,20.0,7.0,240.00674152374268,ok,0.14980080437424015,0.14362125130361697,100000
1.9032,1.9000124915672219,1.945280335647363,20.0,8.0,241.93938517570496,ok,0.149566750887843,0.1429471445402941,100000
1.89064,1.9001740969450467,1.9479850055075871,20.0,9.0,244.57199788093567,ok,0.14954258204951545,0.14256104208206102,100000
1.89064,1.9001740969450467,1.9479850055075871,20.0,9.0,244.13163256645203,ok,0.14954258204951545,0.14256104208206102,100000
1.88664,1.9024491314723941,1.9525310657737536,20.0,11.0,249.4755036830902,ok,0.1492027542186413,0.14191442189394388,100000
1.90296,1.9044715933139376,1.9479628155442055,30.0,7.0,361.4031972885132,ok,0.14890130228185422,0.14256420554146287,100000
1.90296,1.9044715933139376,1.9479628155442055,30.0,7.0,361.1519567966461,ok,0.14890130228185422,0.14256420554146287,100000
1.90296,1.9044715933139376,1.9479628155442055,30.0,7.0,361.3899013996124,ok,0.14890130228185422,0.14256420554146287,100000
1.89892,1.9075826749349674,1.9532271693607943,30.0,8.0,364.24936509132385,ok,0.14843877802539224,0.14181566913087462,100000
1.89076,1.9080302320248252,1.9565340211798212,30.0,9.0,367.10661935806274,ok,0.1483723580623485,0.14134748026968383,100000
1.89076,1.9080302320248252,1.9565340211798212,30.0,9.0,367.02823758125305,ok,0.1483723580623485,0.14134748026968383,100000
1.88804,1.9099940163234406,1.9614891269342,30.0,11.0,374.93171405792236,ok,0.1480812726632516,0.1406488209517547,100000
1.88852,1.9099963837085998,1.9606904197216266,30.0,10.0,369.67328119277954,ok,0.1480809220982593,0.14076120305371218,100000
