rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.num_iterations,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.25,1.2265930794423938,1.1203543669478795,0.16,400,100,0.9,0.9857766628265381,ok,0.2932900935363774,0.32616419233208943,100000
1.25,1.2265930794423938,1.1203543669478795,0.16,300,100,0.72,1.000166893005371,ok,0.2932900935363774,0.32616419233208943,100000
1.25,1.2265930794423938,1.1203543669478795,0.16,300,100,0.72,0.9816756248474121,ok,0.2932900935363774,0.32616419233208943,100000
1.25,1.2265930794423938,1.1203543669478795,0.16,300,100,0.72,0.9852349758148193,ok,0.2932900935363774,0.32616419233208943,100000
1.25,1.2265930794423938,1.1203543669478795,0.16,300,100,0.72,0.9874863624572754,ok,0.2932900935363774,0.32616419233208943,100000
1.23668,1.2269716593245945,1.1329364532610853,0.14,300,100,0.74,0.9982481002807617,ok,0.29317908082223176,0.3220860757195335,100000
1.23668,1.2269716593245945,1.1329364532610853,0.14,400,100,0.86,1.0211608409881592,ok,0.29317908082223176,0.3220860757195335,100000
1.23668,1.2269716593245945,1.1329364532610853,0.14,400,100,0.78,1.0306057929992676,ok,0.29317908082223176,0.3220860757195335,100000
1.23668,1.2269716593245945,1.1329364532610853,0.14,100,100,0.8,1.0008809566497803,ok,0.29317908082223176,0.3220860757195335,100000
1.23668,1.2269716593245945,1.1329364532610853,0.14,100,100,0.78,1.0537402629852295,ok,0.29317908082223176,0.3220860757195335,100000
1.24372,1.2275144546128514,1.114079589717283,0.17,400,100,0.8200000000000001,1.0103440284729004,ok,0.29301998777992894,0.3282172344343204,100000
1.24372,1.2275144546128514,1.114079589717283,0.17,500,100,0.78,0.9874403476715088,ok,0.29301998777992894,0.3282172344343204,100000
1.24372,1.2275144546128514,1.114079589717283,0.17,100,100,0.8200000000000001,0.998136043548584,ok,0.29301998777992894,0.3282172344343204,100000
1.2384,1.227967428784486,1.1394359066994022,0.13,300,100,0.7000000000000001,1.02398681640625,ok,0.2928872873508944,0.31999948047688975,100000
1.2384,1.227967428784486,1.1394359066994022,0.13,100,100,0.7000000000000001,1.0144989490509033,ok,0.2928872873508944,0.31999948047688975,100000
1.2384,1.227967428784486,1.1394359066994022,0.13,500,100,0.8200000000000001,1.0132205486297607,ok,0.2928872873508944,0.31999948047688975,100000
1.23116,1.2285165533222315,1.1446162569626481,0.12,500,100,0.78,1.0190355777740479,ok,0.29272649990482263,0.3183460574368106,100000
1.23116,1.2285165533222315,1.1446162569626481,0.12,500,100,0.76,1.0545856952667236,ok,0.29272649990482263,0.3183460574368106,100000
1.23116,1.2285165533222315,1.1446162569626481,0.12,300,100,0.74,1.0204672813415527,ok,0.29272649990482263,0.3183460574368106,100000
1.24496,1.2293730411906467,1.1274755602779274,0.15,400,100,0.86,0.9860744476318359,ok,0.2924758905461482,0.3238497645855162,100000
1.24496,1.2293730411906467,1.1274755602779274,0.15,400,100,0.8,0.9857511520385742,ok,0.2924758905461482,0.3238497645855162,100000
1.24496,1.2293730411906467,1.1274755602779274,0.15,200,100,0.88,0.9877822399139404,ok,0.2924758905461482,0.3238497645855162,100000
1.24496,1.2293730411906467,1.1274755602779274,0.15,400,100,0.8,0.9987359046936035,ok,0.2924758905461482,0.3238497645855162,100000
1.23384,1.2302156768085013,1.1522557713376413,0.11,500,100,0.7000000000000001,1.026561975479126,ok,0.29222954374827964,0.3159233142286191,100000
1.23384,1.2302156768085013,1.1522557713376413,0.11,300,100,0.72,1.0273094177246094,ok,0.29222954374827964,0.3159233142286191,100000
1.23384,1.2302156768085013,1.1522557713376413,0.11,300,100,0.74,1.0501682758331299,ok,0.29222954374827964,0.3159233142286191,100000
1.22812,1.2307612445411071,1.1601156462628557,0.1,200,100,0.74,1.0339481830596924,ok,0.29207015622099575,0.3134499294735397,100000
1.22812,1.2307612445411071,1.1601156462628557,0.1,400,100,0.8,1.0337915420532227,ok,0.29207015622099575,0.3134499294735397,100000
1.22812,1.2307612445411071,1.1601156462628557,0.1,200,100,0.74,1.0301513671875,ok,0.29207015622099575,0.3134499294735397,100000
1.23372,1.2328451539599008,1.1675905601305,0.09,400,100,0.86,1.0732011795043945,ok,0.29146214221458977,0.31111565337413305,100000
1.23372,1.2328451539599008,1.1675905601305,0.09,300,100,0.72,1.0437052249908447,ok,0.29146214221458977,0.31111565337413305,100000
1.23372,1.2328451539599008,1.1675905601305,0.09,300,100,0.78,1.055518388748169,ok,0.29146214221458977,0.31111565337413305,100000
1.23452,1.234676525047016,1.1753042680158021,0.08,200,100,0.72,1.057504415512085,ok,0.2909288553464751,0.3087250302434585,100000
1.23452,1.234676525047016,1.1753042680158021,0.08,200,100,0.76,1.0546047687530518,ok,0.2909288553464751,0.3087250302434585,100000
1.23452,1.234676525047016,1.1753042680158021,0.08,400,100,0.76,1.0890841484069824,ok,0.2909288553464751,0.3087250302434585,100000
1.23228,1.2374448507531683,1.184538407816871,0.07,300,100,0.74,1.0841267108917236,ok,0.2901245832747202,0.3058873421224653,100000
1.23228,1.2374448507531683,1.184538407816871,0.07,300,100,0.88,1.088416337966919,ok,0.2901245832747202,0.3058873421224653,100000
1.23228,1.2374448507531683,1.184538407816871,0.07,300,100,0.72,1.1108722686767578,ok,0.2901245832747202,0.3058873421224653,100000
1.23228,1.2374448507531683,1.184538407816871,0.07,200,100,0.78,1.0722405910491943,ok,0.2901245832747202,0.3058873421224653,100000
1.23228,1.2374448507531683,1.184538407816871,0.07,400,100,0.9,1.1057043075561523,ok,0.2901245832747202,0.3058873421224653,100000
1.2394,1.2409793776648217,1.194381033053905,0.06,100,100,0.8200000000000001,1.0931921005249023,ok,0.2891009402400178,0.3028913759221811,100000
1.2394,1.2409793776648217,1.194381033053905,0.06,500,100,0.84,1.2293078899383545,ok,0.2891009402400178,0.3028913759221811,100000
1.2394,1.2409793776648217,1.194381033053905,0.06,500,100,0.9,1.1238605976104736,ok,0.2891009402400178,0.3028913759221811,100000
1.2394,1.2409793776648217,1.194381033053905,0.06,200,100,0.76,1.1105523109436035,ok,0.2891009402400178,0.3028913759221811,100000
1.24248,1.2446085376197817,1.204478437573203,0.05,500,100,0.76,1.1362061500549316,ok,0.2880536482293433,0.29984834836910423,100000
1.24248,1.2446085376197817,1.204478437573203,0.05,200,100,0.7000000000000001,1.1207914352416992,ok,0.2880536482293433,0.29984834836910423,100000
1.24248,1.2446085376197817,1.204478437573203,0.05,200,100,0.84,1.1193673610687256,ok,0.2880536482293433,0.29984834836910423,100000
1.24952,1.24945000738928,1.216797283738375,0.04,300,100,0.86,1.192086935043335,ok,0.2866624157220305,0.2961772211439942,100000
