rmse,loss,tr_loss,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
2.051684,1.9840179400456632,1.987645399686299,10.0,8.0,1325.1166787147522,ok,0.1375155963860727,0.13701766776421195,1000000
2.051716,1.9890360581073538,1.9934954973718315,10.0,9.0,1366.4261403083801,ok,0.1368272554206539,0.13621844107960582,1000000
2.051716,1.9890360581073538,1.9934954973718315,10.0,9.0,1349.3424806594849,ok,0.1368272554206539,0.13621844107960582,1000000
2.052248,1.9947163312562177,1.999933528444455,10.0,10.0,1406.6862466335297,ok,0.13605224246215178,0.13534427948240346,1000000
2.052248,1.9947163312562177,1.999933528444455,10.0,10.0,1375.990835428238,ok,0.13605224246215178,0.13534427948240346,1000000
2.052248,1.9947163312562177,1.999933528444455,10.0,10.0,1369.440579175949,ok,0.13605224246215178,0.13534427948240346,1000000
2.052428,1.99512891168356,1.9968243551832277,30.0,6.0,3961.9754853248596,ok,0.13599612154780738,0.13576574315950535,1000000
2.054628,1.9996768906323559,2.005649530345375,10.0,11.0,1403.30251288414,ok,0.13537901839963914,0.13457285814687908,1000000
2.054004,2.000545035599493,2.002638369381615,20.0,7.0,2677.531999349594,ok,0.13526154078733682,0.13497868938906743,1000000
2.054004,2.000545035599493,2.002638369381615,20.0,7.0,2665.521883249283,ok,0.13526154078733682,0.13497868938906743,1000000
2.055544,2.0088081354178464,2.0114658290032503,20.0,8.0,2711.539412021637,ok,0.13414846623058804,0.13379241406075545,1000000
2.05782,2.021158699274401,2.024474307313762,30.0,9.0,4129.484549999237,ok,0.1325018463051568,0.13206324962745294,1000000
2.056576,2.023552147726104,2.02802158861514,20.0,10.0,2757.7193744182587,ok,0.1321850891883997,0.13159561403930187,1000000
2.056576,2.023552147726104,2.02802158861514,20.0,10.0,2737.9441850185394,ok,0.1321850891883997,0.13159561403930187,1000000
2.055788,2.029651043913883,2.035040247498845,20.0,11.0,2843.3759825229645,ok,0.13138135947523757,0.13067522304729712,1000000
2.055788,2.029651043913883,2.035040247498845,20.0,11.0,2830.571886062622,ok,0.13138135947523757,0.13067522304729712,1000000
