rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
7.2564,1.7923002160852244,1.1342547062806854,True,60,sqrt,2,10,400,2.4931297302246094,ok,0.16657656655334382,0.3216617645138562,10000
7.2304,1.7929926453415275,1.1347680490331125,True,50,sqrt,2,10,300,1.821014642715454,ok,0.166461263989289,0.3214966841533386,10000
7.3128,1.8057514118052416,1.1107869560940709,True,50,sqrt,1,10,100,0.6341028213500977,ok,0.16435091494995352,0.3292997146635663,10000
7.342,2.1163366338458225,0.8195977380446512,True,60,sqrt,2,2,200,1.3861215114593506,ok,0.12047215472852896,0.4406088590434707,10000
7.2548,3.4484814185576877,0.3526083685620205,True,30,sqrt,1,2,500,4.147143602371216,ok,0.0317938813350228,0.7028523985797626,10000
7.042,3.7258221264953177,0.24305287740867473,False,20,sqrt,1,2,500,5.298979997634888,ok,0.02409328455476456,0.784230044622611,10000
7.1912,3.7598389017694753,0.6112109765888968,False,30,sqrt,2,5,400,3.612473726272583,ok,0.023287491646424886,0.5426932821340495,10000
7.2036,3.895713415173965,0.61009999628676,False,50,sqrt,2,5,500,4.550890922546387,ok,0.02032886635290229,0.5432965387216465,10000
7.3136,4.0593232878573895,0.3489935043209914,True,40,sqrt,1,2,400,3.3257269859313965,ok,0.017260695686422866,0.7053977122921852,10000
7.1052,16.705446272256406,1.110223024625157e-15,False,60,sqrt,1,2,200,2.25496244430542,ok,5.557978548249246e-08,0.9999999999999989,10000
