rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
4.0,3.529081771703951,1.5418993922879314,True,10,sqrt,4,10,200,1.1973249912261963,ok,0.029331836827905695,0.21397429408191918,10001
4.0,4.754701919959055,1.030047476797447,False,20,sqrt,2,10,200,2.1683273315429688,ok,0.008611111111111116,0.356990011424342,10001
4.0,4.787491742782046,0.9160312991370205,False,30,sqrt,2,10,300,3.4561402797698975,ok,0.008333333333333335,0.400103786557087,10001
4.0,4.787491742782046,1.031360378708403,False,20,sqrt,2,10,300,3.2792608737945557,ok,0.008333333333333335,0.3565216260954276,10001
4.0,5.78755235772166,0.8829181057293807,True,70,sqrt,2,5,400,3.7208797931671143,ok,0.0030654761904761896,0.4135742955829832,10001
4.0,5.947979435168244,0.8116751379336358,True,60,sqrt,2,2,300,2.8688316345214844,ok,0.0026111111111111096,0.4441134914079975,10001
4.0,6.214608098422191,0.8005681932049944,True,70,sqrt,1,5,100,0.9801921844482422,ok,0.0020000000000000005,0.4490737309707395,10001
4.0,6.235661507620025,0.8117359152468294,True,40,sqrt,2,2,400,3.853620767593384,ok,0.0019583333333333323,0.44408650020347146,10001
4.0,7.52294091807237,0.9717244699849287,True,20,sqrt,2,5,100,0.8919196128845215,ok,0.0005405405405405407,0.3784298841164792,10001
4.0,36.04365338911715,0.883966521460181,True,100,sqrt,2,5,200,1.8793327808380127,ok,2.2204460492503185e-16,0.4131409250016026,10001
