rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
7.0916,1.6971515017530696,1.4029262187316116,0.07,100,0.04,0.84,0.31674766540527344,ok,0.1832046395967403,0.2458764220323299,10000
6.9836,1.7034032284744098,1.383987425972837,0.04,200,0.06,0.78,0.6254634857177734,ok,0.1820628669997861,0.2505773995423382,10000
6.8276,1.7226060162986934,1.3040984364273827,0.06,200,0.09,0.8,0.632490873336792,ok,0.17860010613148217,0.27141712456502454,10000
6.7376,1.725827181805383,1.2995171316734375,0.06,200,0.0,0.86,0.628441333770752,ok,0.17802573120510903,0.27266342178196906,10000
6.664,1.737257552908671,1.2686319142007434,0.14,100,0.1,0.86,0.30989933013916016,ok,0.17600241667880703,0.28121608646248875,10000
6.5988,1.749852553643933,1.2382540260204342,0.04,400,0.04,0.8200000000000001,1.3548362255096436,ok,0.17379956767423907,0.28988991659354996,10000
6.5508,1.7721665992255309,1.1888868221866746,0.04,500,0.07,0.86,1.7535698413848877,ok,0.16996434499965746,0.30456010498831304,10000
6.3364,1.8060438046911356,1.1243287248801856,0.05,500,0.0,0.88,1.5891213417053223,ok,0.164302866936423,0.32487047164451416,10000
6.26,2.0327485093295627,0.8477834764419238,0.12,500,0.02,0.8200000000000001,1.7052228450775146,ok,0.13097503986333323,0.42836335793043084,10000
6.2428,2.11786358497668,0.7731750801258284,0.15,500,0.06,0.7000000000000001,1.5757806301116943,ok,0.12028834000939093,0.4615452961002895,10000
