rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.30836,1.3214668080681486,1.1717215193646973,0.16,200,0.04,0.86,1.6252470016479492,ok,0.2667437529834451,0.30983309820835764,99999
1.29792,1.3223308109087148,1.1825175427086856,0.1,300,0.0,0.74,2.5981709957122803,ok,0.26651338515672324,0.3065061242061707,99999
1.28804,1.322498658326898,1.2079242330102793,0.06,400,0.0,0.86,3.20241641998291,ok,0.2664686553271116,0.2988169103812005,99999
1.29912,1.3238403249402397,1.2081065693426114,0.12,200,0.1,0.88,1.7547760009765625,ok,0.26611138295255854,0.29876243016873477,99999
1.2788,1.3247024459234509,1.2276452222385996,0.05,400,0.08,0.78,3.59309458732605,ok,0.26588206161101763,0.2929816727570671,99999
1.28192,1.325598068220024,1.22786959053867,0.05,400,0.03,0.88,3.53275465965271,ok,0.26564403831377675,0.29291594433116214,99999
1.33192,1.3278858967208949,1.0706714579282992,0.16,400,0.07,0.72,4.008529424667358,ok,0.26503698499356426,0.3427782789365892,99999
1.33928,1.329666116324271,1.0708062832075755,0.16,400,0.0,0.8,3.1201560497283936,ok,0.26456558068335323,0.3427320668747488,99999
1.27684,1.3339705022941466,1.270041258418583,0.12,100,0.07,0.72,1.3975365161895752,ok,0.26342923569794524,0.2808200353487976,99999
1.27128,1.3347690034285842,1.2721618918354582,0.04,300,0.0,0.78,2.633362054824829,ok,0.263218971113823,0.28022514998753456,99999
