rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
6.6392,1.7526574463943514,1.2332662797543021,0.08,200,0.0,0.72,0.626389741897583,ok,0.17331276156546555,0.29133942582974287,10000
6.542,1.767964047581805,1.2067732561712607,0.09,200,0.0,0.72,0.6244938373565674,ok,0.17068013194943635,0.2991610397286202,10000
6.246,1.8053921627575087,1.1315698116749537,0.06,400,0.0,0.84,1.288724422454834,ok,0.164409968466468,0.3225265528635602,10000
6.3364,1.8060438046911356,1.1243287248801856,0.05,500,0.0,0.78,1.6474745273590088,ok,0.164302866936423,0.32487047164451416,10000
6.2876,1.8137745266668768,1.1281500263381736,0.12,200,0.0,0.88,0.7720482349395752,ok,0.16303758422826894,0.323631412554479,10000
6.3592,1.8378860250214366,1.0859955037863622,0.14,200,0.02,0.8200000000000001,0.7265448570251465,ok,0.1591535172908844,0.33756557076691923,10000
6.3648,1.8741077628515486,1.0356313398283719,0.17,200,0.1,0.8,0.6584889888763428,ok,0.15349185690336337,0.35500218314252685,10000
6.3404,1.961417457257585,0.9242413471643492,0.16,300,0.06,0.8200000000000001,1.029127597808838,ok,0.14065890156850158,0.39683236290200846,10000
6.2328,1.9776161179156246,0.9006188460050573,0.13,400,0.04,0.74,1.3503015041351318,ok,0.13839877072045864,0.4063181335669023,10000
6.3276,2.096888144795307,0.790257494727454,0.14,500,0.0,0.8,1.5305321216583252,ok,0.12283808845424253,0.45372794768495395,10000
