rmse,loss,tr_loss,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
4.5,2.124630256277851,1.4200811125475243,10.0,7.0,0.12666964530944824,ok,0.11947713602182573,0.24169441165248,50
4.5,2.124630256277851,1.4200811125475243,10.0,7.0,0.12916326522827148,ok,0.11947713602182573,0.24169441165248,50
4.5,2.127035318613941,1.4302266810217898,20.0,8.0,0.36233949661254883,ok,0.11919013133238424,0.23925468160063135,50
4.5,2.127035318613941,1.4302266810217896,30.0,8.0,0.2667064666748047,ok,0.11919013133238424,0.2392546816006314,50
4.5,2.1270353204696066,1.4302266829917876,10.0,8.0,0.13083148002624512,ok,0.11919013111120719,0.23925468112930018,50
4.5,2.1270353204696066,1.4302266829917876,10.0,8.0,0.13280653953552246,ok,0.11919013111120719,0.23925468112930018,50
4.5,2.1282164044497534,1.4357498047017545,30.0,9.0,0.2662224769592285,ok,0.11904944065673591,0.2379368909135356,50
4.5,2.1282164044497534,1.4357498047017545,20.0,9.0,0.19676756858825684,ok,0.11904944065673591,0.2379368909135356,50
4.5,2.133871502530449,1.436642494517962,30.0,11.0,0.2780473232269287,ok,0.11837810441862358,0.23772458185128487,50
4.5,2.133871502530449,1.436642494517962,30.0,11.0,0.29976677894592285,ok,0.11837810441862358,0.23772458185128487,50
4.5,2.1338715025304493,1.436642494517962,20.0,11.0,0.3410356044769287,ok,0.11837810441862352,0.23772458185128487,50
4.5,2.133871505269508,1.4366424969962825,10.0,11.0,0.13177800178527832,ok,0.11837810409437895,0.23772458126212717,50
4.5,2.1365382632845695,1.4372619952314791,20.0,10.0,0.19760870933532715,ok,0.11806283889131765,0.2375773569108938,50
4.5,2.1365382632845695,1.4372619952314791,20.0,10.0,0.1989126205444336,ok,0.11806283889131765,0.2375773569108938,50
4.5,2.13653826328457,1.4372619952314787,30.0,10.0,0.2743813991546631,ok,0.11806283889131759,0.23757735691089388,50
4.5,2.1365382651425335,1.4372619974086338,10.0,10.0,0.1306319236755371,ok,0.11806283867196114,0.23757735639365113,50
