rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.reg_alpha,params.subsample,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.24432,1.2221868311877224,1.0826801832747528,0.05,500,0.09,0.72,4.825446128845215,ok,0.2945852538025023,0.33868656603022007,100000
1.24392,1.222227829411584,1.084739263586535,0.06,400,0.07,0.74,3.813655138015747,ok,0.2945731765778946,0.33798990068133816,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.8,4.8297035694122314,ok,0.29454285494264076,0.33910372790230187,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.78,4.887524843215942,ok,0.29454285494264076,0.33910372790230187,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.78,5.145162105560303,ok,0.29454285494264076,0.33910372790230187,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.78,4.781783819198608,ok,0.29454285494264076,0.33910372790230187,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.9,4.827341079711914,ok,0.29454285494264076,0.33910372790230187,100000
1.2352,1.2223307688451024,1.081449236391946,0.05,500,0.03,0.9,4.7750468254089355,ok,0.29454285494264076,0.33910372790230187,100000
1.24404,1.2229639719147343,1.067173585629559,0.07,400,0.01,0.8200000000000001,3.747258424758911,ok,0.29435640853820033,0.3439793729952831,100000
1.2472,1.2230946703482473,1.0816632660887173,0.05,500,0.05,0.76,4.800365447998047,ok,0.29431793913071025,0.33903115740064316,100000
1.23816,1.2231457861208195,1.0829945477415917,0.05,500,0.1,0.7000000000000001,4.8377320766448975,ok,0.29430289522636344,0.338580111742064,100000
1.23816,1.2231457861208195,1.0829945477415917,0.05,500,0.1,0.78,4.79585862159729,ok,0.29430289522636344,0.338580111742064,100000
1.23856,1.2232035098677714,1.1040748897840569,0.05,400,0.03,0.9,3.8645966053009033,ok,0.2942859074508159,0.3315174305864144,100000
1.24052,1.2232319904708167,1.1040651193863922,0.05,400,0.05,0.84,3.869847536087036,ok,0.2942775261300571,0.3315206696593675,100000
1.24328,1.223288954515286,1.0542312451093412,0.08,400,0.1,0.78,3.758307456970215,ok,0.2942607633694141,0.3484602048520409,100000
1.24248,1.2233555468704118,1.0682311064596048,0.07,400,0.06,0.78,3.7890875339508057,ok,0.2942411685046016,0.34361579992016805,100000
1.23712,1.2233772379491437,1.104855581856163,0.05,400,0.09,0.84,3.946188449859619,ok,0.29423478616546955,0.3312587185569458,100000
1.24336,1.2234441887653946,1.0814197097769656,0.05,500,0.04,0.8,4.775887489318848,ok,0.2942150875657924,0.3391137406353344,100000
1.24336,1.2234441887653946,1.0814197097769656,0.05,500,0.04,0.9,4.732074022293091,ok,0.2942150875657924,0.3391137406353344,100000
1.23524,1.2234503431928712,1.103879021394622,0.04,500,0.01,0.72,4.893620014190674,ok,0.29421327684594545,0.3315823707312662,100000
1.23524,1.2234503431928712,1.103879021394622,0.04,500,0.01,0.78,4.878664493560791,ok,0.29421327684594545,0.3315823707312662,100000
1.2392,1.223452371715218,1.0820169141539704,0.05,500,0.02,0.76,4.853067398071289,ok,0.29421268002834394,0.33891128088606604,100000
1.2392,1.223452371715218,1.0820169141539704,0.05,500,0.02,0.88,4.77073073387146,ok,0.29421268002834394,0.33891128088606604,100000
1.23948,1.223472097700125,1.0848470376193111,0.06,400,0.03,0.8200000000000001,3.8748202323913574,ok,0.2942068764506991,0.3379534761095509,100000
1.23948,1.223472097700125,1.0848470376193111,0.06,400,0.03,0.88,3.850266695022583,ok,0.2942068764506991,0.3379534761095509,100000
1.24488,1.2235239014107098,1.0819592763489099,0.05,500,0.06,0.8,4.849970102310181,ok,0.29419163583758295,0.3389308155513688,100000
1.24108,1.2235507374239005,1.084256213190545,0.08,300,0.02,0.88,2.8628737926483154,ok,0.2941837410128963,0.3381532062759435,100000
1.23956,1.2235522769087357,1.1041375012441887,0.04,500,0.02,0.74,4.974386215209961,ok,0.29418328812183686,0.33149667444581915,100000
1.23956,1.2235522769087357,1.1041375012441887,0.04,500,0.02,0.8200000000000001,4.924773931503296,ok,0.29418328812183686,0.33149667444581915,100000
1.23904,1.2236652279051934,1.0687884885053984,0.07,400,0.09,0.74,3.7746212482452393,ok,0.29415006170281616,0.3434243280091014,100000
1.23964,1.2237059650694313,1.0864163712300703,0.06,400,0.08,0.86,3.9418771266937256,ok,0.2941380791075121,0.33742353030026734,100000
1.24304,1.2237372335168943,1.0857190637423115,0.06,400,0.0,0.7000000000000001,3.738105535507202,ok,0.2941288820102289,0.3376589003075888,100000
1.24304,1.2237372335168943,1.0857190637423115,0.06,400,0.0,0.8,3.734541177749634,ok,0.2941288820102289,0.3376589003075888,100000
1.2376,1.2238276694239323,1.106070302020423,0.04,500,0.07,0.8,4.936586856842041,ok,0.29410228340075106,0.3308565762065869,100000
1.2404,1.223883793261245,1.0605846766727827,0.06,500,0.0,0.72,4.559593915939331,ok,0.29408577771522976,0.3462533049054752,100000
1.23784,1.223915416672667,1.104936801040059,0.05,400,0.08,0.72,3.883662223815918,ok,0.29407647786673496,0.33123181508671984,100000
1.23752,1.2239721109418606,1.1041233996518118,0.04,500,0.03,0.9,4.844897985458374,ok,0.2940598058883425,0.3315013491097565,100000
1.23532,1.224064915489808,1.1034370924460082,0.04,500,0.0,0.72,4.777334451675415,ok,0.29403251706727046,0.3317289389637293,100000
1.23532,1.224064915489808,1.1034370924460082,0.04,500,0.0,0.7000000000000001,4.742064714431763,ok,0.29403251706727046,0.3317289389637293,100000
1.24388,1.2240740996114472,1.0609889753902462,0.06,500,0.03,0.8,4.707194566726685,ok,0.29402981664926836,0.3461133434334127,100000
1.2382,1.2242557533899423,1.0605731998804975,0.06,500,0.04,0.72,4.852064371109009,ok,0.293976409873002,0.3462572788055374,100000
1.236,1.2243192226518895,1.1141570877878613,0.06,300,0.05,0.74,2.964982509613037,ok,0.2939577519993445,0.328191799217524,100000
1.23548,1.224467326121367,1.1140321684420276,0.06,300,0.0,0.7000000000000001,2.88973069190979,ok,0.2939142190601628,0.3282327992831876,100000
1.23548,1.224467326121367,1.1140321684420276,0.06,300,0.0,0.84,2.9481589794158936,ok,0.2939142190601628,0.3282327992831876,100000
1.23548,1.224467326121367,1.1140321684420276,0.06,300,0.0,0.72,2.880256175994873,ok,0.2939142190601628,0.3282327992831876,100000
1.24548,1.2244732922478878,1.0821252504242294,0.12,200,0.0,0.84,1.926623821258545,ok,0.2939124655359765,0.3388745664907324,100000
1.23756,1.2244844587302233,1.0997401911277473,0.07,300,0.07,0.74,2.918976068496704,ok,0.29390918358594587,0.3329575777944209,100000
1.23704,1.2245506132574528,1.1136376466863,0.06,300,0.02,0.78,3.0458760261535645,ok,0.2938897408059784,0.32836231981110126,100000
1.23536,1.2246271544507283,1.1057762442519077,0.05,400,0.07,0.88,3.9281764030456543,ok,0.2938672469953882,0.3309538814590664,100000
1.23536,1.2246271544507283,1.1057762442519077,0.05,400,0.07,0.84,4.279537200927734,ok,0.2938672469953882,0.3309538814590664,100000
1.2364,1.2247988647423764,1.1239630314656661,0.04,400,0.01,0.86,4.158230543136597,ok,0.2938167912967061,0.3249892963619505,100000
1.23236,1.2248010399522926,1.1247446834077013,0.04,400,0.05,0.88,3.960627555847168,ok,0.29381615218420326,0.32473536710238676,100000
1.241,1.2248743089729168,1.052809236096671,0.08,400,0.08,0.76,3.76705002784729,ok,0.2937946253511238,0.3489560708833222,100000
1.23928,1.224976945446371,1.0991327196303577,0.07,300,0.04,0.86,2.906733512878418,ok,0.2937644728542574,0.3331599014794851,100000
1.24092,1.2250051401760487,1.0693287489411167,0.07,400,0.0,0.76,3.7229573726654053,ok,0.2937561903611182,0.34323883954256657,100000
1.24092,1.2250051401760487,1.0693287489411167,0.07,400,0.0,0.78,3.725975275039673,ok,0.2937561903611182,0.34323883954256657,100000
1.23804,1.2250606924340655,1.1254177305856785,0.04,400,0.1,0.72,3.9835455417633057,ok,0.29373987199470253,0.32451687841481425,100000
1.2454,1.2250734056654258,1.074123558935104,0.13,200,0.0,0.84,1.8886113166809082,ok,0.29373613763548806,0.341597013791155,100000
