rmse,loss,tr_loss,params.learning_rate,params.n_estimators,params.num_iterations,params.subsample,train_time,status,geo_mean,geo_mean_tr
1.3817865663279962,1.3038385396562056,1.302620662072226,0.14,300,100,0.8,253.73499488830566,ok,0.2714876741667509,0.2718185143399682
1.3817865663279962,1.3038385396562056,1.302620662072226,0.14,300,100,0.84,243.23196244239807,ok,0.2714876741667509,0.2718185143399682
1.3817865663279962,1.3038385396562056,1.302620662072226,0.14,100,100,0.72,244.78947496414185,ok,0.2714876741667509,0.2718185143399682
1.3869418730201826,1.3063390091966396,1.3054549626608338,0.1,300,100,0.86,459.85995721817017,ok,0.27080967551763585,0.2710491897283949
1.386351755839235,1.3069229720710172,1.3059727478564886,0.09,300,100,0.74,329.5256791114807,ok,0.27065157888688557,0.2709088807987374
1.386351755839235,1.3069229720710174,1.3059727478564889,0.09,200,100,0.8200000000000001,187.1866796016693,ok,0.27065157888688546,0.2709088807987373
1.3902943286001461,1.308995541342637,1.308162895724886,0.07,400,100,0.78,222.75696325302124,ok,0.2700912156375836,0.2703161995576164
1.3931129162538596,1.31015883271199,1.309338366184421,0.06,300,100,0.86,326.86255836486816,ok,0.2697772035366891,0.26999863752925984
1.3931129162538596,1.31015883271199,1.309338366184421,0.06,200,100,0.84,286.9998953342438,ok,0.2697772035366891,0.26999863752925984
1.393938780311161,1.3118863770875302,1.311101098485035,0.05,200,100,0.8,441.57082080841064,ok,0.2693115537771893,0.26952312143668106
1.393938780311161,1.3118863770875302,1.311101098485035,0.05,400,100,0.84,496.38662338256836,ok,0.2693115537771893,0.26952312143668106
1.393938780311161,1.3118863770875302,1.311101098485035,0.05,400,100,0.9,317.01767086982727,ok,0.2693115537771893,0.26952312143668106
1.393938780311161,1.3118863770875302,1.311101098485035,0.05,400,100,0.78,346.3482332229614,ok,0.2693115537771893,0.26952312143668106
1.396032377570997,1.3141389951613058,1.3134134597364628,0.04,300,100,0.72,323.22551679611206,ok,0.26870558047312293,0.26890060663124726
1.4710766332346097,1.8270702318919696,1.8222851157460789,0.15,400,100,0.76,561.4222660064697,ok,0.16088423146120093,0.16165592604641618
1.4710766332346097,1.8270702318921839,1.8222851157462423,0.15,200,100,0.86,562.5383307933807,ok,0.16088423146116645,0.16165592604638976
