rmse,loss,tr_loss,params.AffinityNoiseVariance,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.numLevels,train_time,status,geo_mean,geo_mean_tr,dataset_size
7.6836,3.732598770814533,3.916514842380992,1.0,1.0,0.25,0.75,1.0,10.0,15.0,5,9.0400550365448,ok,0.023930564904166028,0.019910364725174153,10000
7.5352,4.4301318022840235,4.648799535282993,1.0,1.0,0.25,1.0,0.5,25.0,6.0,5,21.677358865737915,ok,0.011912919419321565,0.009573087188743506,10000
7.714,4.5264453749198434,4.756420556025151,1.0,0.25,0.75,0.5,1.0,15.0,12.0,5,13.352236270904541,ok,0.010819065523923256,0.008596324455066211,10000
7.542,4.575610253207156,4.787283485032972,1.0,1.0,0.5,1.0,0.5,15.0,8.0,5,13.105595350265503,ok,0.010300011644562311,0.008335068995301868,10000
7.7388,4.588384886076517,4.818193817772067,1.0,1.0,1.0,1.0,1.0,15.0,12.0,5,13.32798171043396,ok,0.01016926964576149,0.008081370392708953,10000
7.6016,4.618197663519911,4.832817085242262,1.0,0.5,1.0,0.25,0.25,20.0,7.0,5,17.293062448501587,ok,0.009870570127571867,0.007964054215416575,10000
7.6332,4.770240824840348,4.991051505165605,1.0,0.5,0.75,1.0,0.75,30.0,10.0,5,26.655106782913208,ok,0.008478338119652035,0.0067985120619293085,10000
7.5452,4.913208216307757,5.128266492199842,1.0,1.0,0.75,1.0,0.25,25.0,5.0,5,21.697325944900513,ok,0.007348873694760471,0.005926825772330086,10000
7.5884,4.936242667432688,5.169546275801262,1.0,0.25,0.5,1.0,0.5,20.0,6.0,5,17.22610569000244,ok,0.007181531143789229,0.005687148630869493,10000
7.6264,5.524905554643371,5.776840724174124,1.0,0.25,0.75,1.0,0.75,30.0,6.0,5,26.092196702957153,ok,0.0039862451566957825,0.0030984889426754095,10000
