rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
8.2348,1.6933856643987122,1.5007866268708403,True,10,sqrt,2,10,200,0.9589526653289795,ok,0.183895859165382,0.22295470898510913,10000
8.2348,1.6933856643987122,1.5007866268708403,True,10,sqrt,2,10,200,1.0806841850280762,ok,0.183895859165382,0.22295470898510913,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.4541828632354736,ok,0.18383604375961882,0.22280827795175442,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.434542179107666,ok,0.18383604375961882,0.22280827795175442,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.5004971027374268,ok,0.18383604375961882,0.22280827795175442,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.4594841003417969,ok,0.18383604375961882,0.22280827795175442,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.4395701885223389,ok,0.18383604375961882,0.22280827795175442,10000
8.2324,1.6937109851327303,1.501443617437186,True,10,sqrt,2,10,300,1.5822875499725342,ok,0.18383604375961882,0.22280827795175442,10000
8.308,1.6938734499557675,1.5002356051287231,True,10,sqrt,2,10,400,1.9089136123657227,ok,0.1838061792953297,0.2230775957307924,10000
8.2908,1.6943518980973036,1.4972745467784232,True,10,sqrt,1,10,200,0.9771215915679932,ok,0.18371825860486565,0.223739120431669,10000
8.236,1.6959410541870725,1.5116604280751467,True,10,sqrt,4,10,100,0.47409796714782715,ok,0.18342653347517915,0.22054347718818365,10000
8.236,1.6959410541870725,1.5116604280751467,True,10,sqrt,4,10,100,0.47693634033203125,ok,0.18342653347517915,0.22054347718818365,10000
8.236,1.6959410541870725,1.5116604280751467,True,10,sqrt,4,10,100,0.4756772518157959,ok,0.18342653347517915,0.22054347718818365,10000
