rmse,loss,tr_loss,params.bootstrap,params.max_depth,params.max_features,params.min_samples_leaf,params.min_samples_split,params.n_estimators,train_time,status,geo_mean,geo_mean_tr,dataset_size
8.1952,1.72031246458024,1.4390789936755075,True,10,sqrt,1,5,300,1.4614801406860352,ok,0.17901020482332283,0.23714607116447228,10000
7.41,1.7827532653168303,1.1837072880670656,True,20,sqrt,4,5,500,2.9739415645599365,ok,0.16817448029862095,0.3061416768103695,10000
7.3148,1.7914660291982192,1.133901278216637,True,50,sqrt,2,10,500,3.1134583950042725,ok,0.16671558051459548,0.3217754689005437,10000
7.2656,1.79366461760776,1.1365276813450438,True,30,sqrt,2,10,200,1.25864839553833,ok,0.1663494442105889,0.32093146563394936,10000
7.3672,1.9512535798576494,0.8869407495393624,True,60,sqrt,2,5,400,2.7599849700927734,ok,0.1420958314185906,0.41191397518057826,10000
7.1912,2.05163350721995,0.9124004920158338,False,40,sqrt,2,10,400,3.2416980266571045,ok,0.12852478585447344,0.4015591266653637,10000
7.344,2.0840026708919424,1.0057317953319818,False,90,sqrt,4,10,100,0.7768757343292236,ok,0.12443115711760953,0.36577686303798285,10000
7.164,2.0847342627210166,0.9127900380608115,False,110,sqrt,2,10,200,1.6061646938323975,ok,0.12434015759109383,0.4014027313593107,10000
7.268,2.115067363110025,0.8724819695417037,False,40,sqrt,1,10,400,3.377732038497925,ok,0.12062516359329949,0.41791301360300565,10000
7.1044,4.77233601005914,0.5125788160817596,False,60,sqrt,1,5,200,1.912729263305664,ok,0.00846059302706312,0.5989490061768877,10000
