rmse,loss,tr_loss,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.788,1.7791560919916738,1.7311449134205463,10.0,10.0,11.922959327697754,ok,0.1687805224188998,0.17708155081989074,10000
1.7932,1.7794169010066974,1.7327778687452153,10.0,9.0,11.752570629119873,ok,0.1687365086769324,0.17679262052791186,10000
1.794,1.7803780818799868,1.7346645280292334,10.0,8.0,11.578224897384644,ok,0.16857440029238638,0.1764593875364503,10000
1.778,1.7868714639443646,1.7374871468121584,20.0,11.0,24.17542028427124,ok,0.16748332851164138,0.17596201223542293,10000
1.7772,1.78804807578268,1.7398374882873506,20.0,10.0,23.860551357269287,ok,0.16728638153238914,0.17554892705578348,10000
1.7824,1.7889674419244839,1.742404649962868,20.0,9.0,23.563774824142456,ok,0.16713265477363984,0.1750988425451043,10000
1.7712,1.7900532357210592,1.744977285609983,20.0,8.0,23.212825775146484,ok,0.16695128165860218,0.1746489559662586,10000
1.7712,1.7900532357210592,1.744977285609983,20.0,8.0,23.197396278381348,ok,0.16695128165860218,0.1746489559662586,10000
1.7676,1.791615140667718,1.7476199846711573,20.0,7.0,23.05227756500244,ok,0.16669072316270078,0.17418802065920197,10000
1.7676,1.791615140667718,1.7476199846711573,20.0,7.0,22.944666147232056,ok,0.16669072316270078,0.17418802065920197,10000
1.7732,1.7919580030764883,1.744001719884176,30.0,10.0,35.888150691986084,ok,0.16663358097635117,0.17481942063797318,10000
1.7556,1.7940315289935982,1.7494289575783388,30.0,8.0,34.912903785705566,ok,0.1662884199014217,0.17387320408225315,10000
1.7556,1.7940315289935982,1.7494289575783388,30.0,8.0,34.91445279121399,ok,0.1662884199014217,0.17387320408225315,10000
1.7512,1.7956035245307844,1.752300348731384,30.0,7.0,34.5098819732666,ok,0.16602722060330538,0.17337466219921102,10000
1.7512,1.7956035245307844,1.752300348731384,30.0,7.0,34.46715450286865,ok,0.16602722060330538,0.17337466219921102,10000
1.7808,1.7958109820212353,1.7499238350138229,20.0,6.0,22.62156581878662,ok,0.16599278058531586,0.17378717944449923,10000
