rmse,loss,tr_loss,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.9128,1.854677039847377,1.8977430083016664,1,2,1,1,10.0,20.0,134.54806566238403,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,0,0,1,0,10.0,20.0,134.03469705581665,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,0,0,2,0,10.0,20.0,133.96985602378845,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,0,0,2,0,10.0,20.0,134.09561705589294,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,1,2,1,1,10.0,20.0,133.3280963897705,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,0,0,2,0,10.0,20.0,133.96103262901306,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,1,2,1,1,10.0,20.0,134.1221842765808,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,0,0,1,0,10.0,20.0,134.23152470588684,ok,0.15650347890135377,0.14990657559345064,100000
1.9128,1.854677039847377,1.8977430083016664,1,2,1,0,10.0,20.0,133.69481325149536,ok,0.15650347890135377,0.14990657559345064,100000
1.94608,1.8558246685076483,1.8865089997128397,1,2,1,0,10.0,3.0,115.61484408378601,ok,0.15632397404569437,0.15160012219890082,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,2,0,10.0,19.0,132.96803212165833,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,1,0,10.0,19.0,132.36452984809875,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,2,2,0,10.0,19.0,133.20435166358948,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,1,2,1,1,10.0,19.0,133.16573691368103,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,2,0,0,2,10.0,19.0,132.9626362323761,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,1,1,10.0,19.0,133.33762407302856,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,2,0,10.0,19.0,132.8023600578308,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,0,0,10.0,19.0,132.9277765750885,ok,0.1563125075191979,0.14971536598586987,100000
1.90856,1.8558980222406753,1.8990193476280206,0,0,1,0,10.0,19.0,132.64232563972473,ok,0.1563125075191979,0.14971536598586987,100000
1.91108,1.8572854924852646,1.9003401111212082,0,2,2,0,10.0,18.0,130.72646474838257,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,2,0,2,0,10.0,18.0,131.7234227657318,ok,0.15609577895314433,0.14951775792159103,100000
